240721 0022 01 4 95              03028.70 00000.00                      0103 
240721 0022 02 4 95              06224.49 00000.00                      
240721 0022 03 4 95              03222.73 00000.00                      
240721 0022 04 4 95              05396.04 00000.00                      
240721 0022 05 3 Soler           16363.69 00000.00                      
240721 0052 01 4 95              03013.26 00000.00                      0103 
240721 0052 02 4 95              06151.46 00000.00                      
240721 0052 03 4 95              03175.88 00000.00                      
240721 0052 04 4 95              05290.79 00000.00                      
240721 0052 05 3 Soler           16363.62 00000.00                      
240721 0122 01 4 95              02978.80 00000.00                      0103 
240721 0122 02 4 95              06111.45 00000.00                      
240721 0122 03 4 95              03159.61 00000.00                      
240721 0122 04 4 95              05274.23 00000.00                      
240721 0122 05 3 Soler           16336.33 00000.00                      
240721 0152 01 4 95              02976.61 00000.00                      0103 
240721 0152 02 4 95              06114.67 00000.00                      
240721 0152 03 4 95              03162.52 00000.00                      
240721 0152 04 4 95              05264.79 00000.00                      
240721 0152 05 3 Soler           16336.87 00000.00                      
240721 0222 01 4 95              02999.45 00000.00                      0103 
240721 0222 02 4 95              06103.34 00000.00                      
240721 0222 03 4 95              03161.77 00000.00                      
240721 0222 04 4 95              05192.27 00000.00                      
240721 0222 05 3 Soler           16336.85 00000.00                      
240721 0252 01 4 95              02966.59 00000.00                      0103 
240721 0252 02 4 95              06059.28 00000.00                      
240721 0252 03 4 95              03154.52 00000.00                      
240721 0252 04 4 95              05122.26 00000.00                      
240721 0252 05 3 Soler           16336.74 00000.00                      
240721 0322 01 4 95              02964.45 00000.00                      0103 
240721 0322 02 4 95              06066.06 00000.00                      
240721 0322 03 4 95              03157.47 00000.00                      
240721 0322 04 4 95              05096.25 00000.00                      
240721 0322 05 3 Soler           16316.35 00000.00                      
240721 0352 01 4 95              02959.90 00000.00                      0103 
240721 0352 02 4 95              06051.19 00000.00                      
240721 0352 03 4 95              03158.57 00000.00                      
240721 0352 04 4 95              05073.46 00000.00                      
240721 0352 05 3 Soler           16290.43 00000.00                      
240721 0422 01 4 95              02957.00 00000.00                      0103 
240721 0422 02 4 95              06049.38 00000.00                      
240721 0422 03 4 95              03158.73 00000.00                      
240721 0422 04 4 95              05039.98 00000.00                      
240721 0422 05 3 Soler           16277.84 00000.00                      
240721 0452 01 4 95              02955.35 00000.00                      0103 
240721 0452 02 4 95              06052.53 00000.00                      
240721 0452 03 4 95              03159.38 00000.00                      
240721 0452 04 4 95              05012.63 00000.00                      
240721 0452 05 3 Soler           16224.56 00000.00                      
240721 0522 01 4 95              02953.70 00000.00                      0103 
240721 0522 02 4 95              06053.26 00000.00                      
240721 0522 03 4 95              03160.17 00000.00                      
240721 0522 04 4 95              05009.84 00000.00                      
240721 0522 05 3 Soler           15991.87 00000.00                      
240721 0552 01 4 95              02948.55 00000.00                      0103 
